hash_name,item_nameid
Sticker%20%7C%20torzsi%20%7C%20Shanghai%202024,176475168
Sticker%20%7C%20volt%20%7C%20Paris%202023,176372429
Sticker%20%7C%20jL%20(Champion)%20%7C%20Copenhagen%202024,176422576
Sticker%20%7C%20kyxsan%20%7C%20Shanghai%202024,176475055
Sticker%20%7C%20Djoko%20%7C%20Shanghai%202024,176475062
SCAR-20%20%7C%20Contractor%20(Battle-Scarred),2386048
Sticker%20%7C%20karrigan%20(Champion)%20%7C%20Antwerp%202022,176315225
Sticker%20%7C%20DemQQ%20%7C%20Paris%202023,176371925
Sticker%20%7C%20Ex3rcice%20%7C%20Shanghai%202024,176475006
Sticker%20%7C%20iM%20(Champion)%20%7C%20Copenhagen%202024,176422579
Sticker%20%7C%20donk%20(Champion)%20%7C%20Shanghai%202024,176481556
Sticker%20%7C%20forZe%20eSports%20%7C%20Antwerp%202022,176312047
SSG%2008%20%7C%20Blue%20Spruce%20(Battle-Scarred),2383881
Sticker%20%7C%20CRUC1AL%20%7C%20Paris%202023,176372423
Paris%202023%20Champions%20Autograph%20Capsule,176376832
Sticker%20%7C%20sjuush%20%7C%20Shanghai%202024,176475244
AWP%20%7C%20Safari%20Mesh%20(Field-Tested),2384117
Sticker%20%7C%20degster%20%7C%20Shanghai%202024,176475204
Sticker%20%7C%20Vitality%20%7C%20Rio%202022,176339501
Sticker%20%7C%20Fnatic%20%7C%202020%20RMR,176222734
Sticker%20%7C%20Copenhagen%20Flames%20%7C%20Antwerp%202022,176312056
Sticker%20%7C%20TYLOO%20%7C%202020%20RMR,176222738
Sticker%20%7C%20Woro2k%20%7C%20Paris%202023,176371874
Souvenir%20PP-Bizon%20%7C%20Anolis%20(Minimal%20Wear),176271179
P250%20%7C%20Boreal%20Forest%20(Minimal%20Wear),2383385
Sticker%20%7C%20Jimpphat%20%7C%20Copenhagen%202024,176420478
Sticker%20%7C%20magixx%20%7C%20Shanghai%202024,176475029
MP7%20%7C%20Forest%20DDPAT%20(Field-Tested),8988919
Sticker%20%7C%20siuhy%20%7C%20Shanghai%202024,176475186
Sticker%20%7C%20sjuush%20%7C%20Paris%202023,176371800
Sticker%20%7C%20NertZ%20%7C%20Shanghai%202024,176475220
FAMAS%20%7C%20Colony%20(Minimal%20Wear),2384351
Sticker%20%7C%20Cypher%20%7C%20Paris%202023,176371833
Sticker%20%7C%20r3salt%20%7C%20Paris%202023,176371722
Sticker%20%7C%20sh1ro%20%7C%20Shanghai%202024,176475200
Sticker%20%7C%20Spinx%20%7C%20Paris%202023,176371747
AUG%20%7C%20Sweeper%20(Minimal%20Wear),176012395
Sticker%20%7C%20OG%20%7C%20Rio%202022,176339556
Sticker%20%7C%20Evil%20Geniuses%20%7C%20Rio%202022,176339496
Sticker%20%7C%20malbsMd%20%7C%20Shanghai%202024,176475153
Dual%20Berettas%20%7C%20Contractor%20(Minimal%20Wear),2383759
Souvenir%20MAC-10%20%7C%20Sienna%20Damask%20(Minimal%20Wear),176271200
Sticker%20%7C%20Renegades%20%7C%202020%20RMR,176222717
Five-SeveN%20%7C%20Coolant%20(Minimal%20Wear),176012344
MP7%20%7C%20Army%20Recon%20(Minimal%20Wear),2383708
Sticker%20%7C%20w0nderful%20%7C%20Shanghai%202024,176475278
Copenhagen%202024%20Contenders%20Sticker%20Capsule,176421949
Glock-18%20%7C%20High%20Beam%20(Factory%20New),176012363
SG%20553%20%7C%20Waves%20Perforated%20(Battle-Scarred),2384416
Tec-9%20%7C%20Groundwater%20(Battle-Scarred),2384550
M4A1-S%20%7C%20Wash%20me%20plz%20(Field-Tested),176460494
Sticker%20%7C%20Ninjas%20in%20Pyjamas%20%7C%20Rio%202022,176339478
Souvenir%20MP7%20%7C%20Prey%20(Field-Tested),176271499
Sticker%20%7C%20Vitality%20%7C%20Stockholm%202021,176269953
AUG%20%7C%20Contractor%20(Battle-Scarred),2384624
SG%20553%20%7C%20Waves%20Perforated%20(Minimal%20Wear),2384399
Sticker%20%7C%20Spinx%20%7C%20Copenhagen%202024,176420743
UMP-45%20%7C%20Facility%20Dark%20(Minimal%20Wear),176012407
Desert%20Eagle%20%7C%20Tilted%20(Field-Tested),176460430
Sticker%20%7C%20SENER1%20%7C%20Paris%202023,176371852
Sticker%20%7C%20jabbi%20%7C%20Paris%202023,176371726
PP-Bizon%20%7C%20Sand%20Dashed%20(Battle-Scarred),2384395
Sticker%20%7C%20chopper%20(Glitter%2C%20Champion)%20%7C%20Shanghai%202024,176481568
